Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
60000,1.4182744,999.0,0.18228295,-19.942534162287128,-19.942534162287128,0.14365721,0.03691565,0.00029939998,0.19980001,0.00099802,1.0
120000,1.4145411,1050.7241379310344,-0.13122594,-19.838695756320295,-19.838695756320295,0.06385203,0.036302064,0.0002988,0.1996,0.0009960401,1.0
180000,1.4103533,1050.7241379310344,-0.4886494,-17.205468736845873,-17.205468736845873,0.029317262,0.03642562,0.00029789997,0.19929999,0.0009930702,1.0
240000,1.4038142,1050.7241379310344,-0.7682143,-14.61724465353447,-14.61724465353447,0.007409165,0.03622745,0.0002968425,0.19894747,0.0009895804,1.0
300000,1.3910364,999.0,-1.0124145,-10.214441019913245,-10.214441019913245,0.004202062,0.03592128,0.0002961,0.19869998,0.0009871301,1.0
360000,1.3635257,1050.7241379310344,-1.0866573,-8.100626559093081,-8.100626559093081,0.0019304014,0.041677985,0.00029520004,0.19839999,0.0009841602,1.0
420000,1.3284042,1050.7241379310344,-1.0601928,-6.288326880027508,-6.288326880027508,0.0008277502,0.04216019,0.00029430003,0.1981,0.0009811901,1.0
480000,1.2752875,1050.7241379310344,-1.0430313,-5.112971431330631,-5.112971431330631,0.00037006574,0.039787993,0.00029339996,0.19780003,0.0009782203,1.0
540000,1.2247338,999.0,-1.005755,-4.167558559055986,-4.167558559055986,0.00019140328,0.039309468,0.0002925,0.19750002,0.00097525015,1.0
600000,1.159302,1050.7241379310344,-0.9676682,-3.8010427746279487,-3.8010427746279487,0.00011276046,0.040464234,0.0002916,0.19719999,0.00097228016,1.0
660000,1.1011798,1050.7241379310344,-0.9159588,-3.401609289235082,-3.401609289235082,7.558207e-05,0.03734368,0.0002907,0.19689998,0.00096931023,1.0
720000,1.0275382,1050.7241379310344,-0.8635958,-3.013010543689393,-3.013010543689393,5.9413534e-05,0.037748225,0.0002898,0.19660002,0.00096634025,1.0
780000,0.9627678,999.0,-0.8141317,-2.6133042656142136,-2.6133042656142136,5.0126895e-05,0.039257694,0.00028890002,0.19630001,0.00096337026,1.0
840000,0.8849943,1050.7241379310344,-0.75877297,-2.4938311987909776,-2.4938311987909776,3.9709957e-05,0.03909368,0.00028800004,0.19599998,0.00096040027,1.0
900000,0.81884754,1050.7241379310344,-0.72250044,-2.2871185911112817,-2.2871185911112817,3.557302e-05,0.037136078,0.00028710003,0.1957,0.0009574303,1.0
960000,0.7405313,1050.7241379310344,-0.67132264,-2.0977326025042617,-2.0977326025042617,3.088716e-05,0.036786478,0.00028620003,0.1954,0.00095446024,1.0
1020000,0.6749316,999.0,-0.63092256,-1.8458745541243717,-1.8458745541243717,2.6026795e-05,0.03808734,0.0002853,0.19510005,0.0009514902,1.0
1080000,0.5975762,1050.7241379310344,-0.5902365,-1.795994183112835,-1.795994183112835,2.2439363e-05,0.03765606,0.0002844,0.19480002,0.00094852026,1.0
