Steps,Policy/Entropy,RT,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
60000,1.4193956,121.64,999.0,-0.049726166,-3.6169451245090416,-3.6169451245090416,0.048073333,0.03702893,0.00029939998,0.19980001,0.00099802,1.0
120000,1.4196765,123.11764705882354,1050.7241379310344,-0.10531615,-3.8264948006333976,-3.8264948006333976,0.00931998,0.03603254,0.0002988,0.1996,0.0009960401,1.0
180000,1.4150856,109.85714285714286,1050.7241379310344,-0.1657982,-3.6835481976640634,-3.6835481976640634,0.0057844794,0.035145245,0.00029789997,0.19929999,0.0009930702,1.0
240000,1.4061122,109.78787878787878,1050.7241379310344,-0.21339165,-3.529660185178121,-3.529660185178121,0.0033408555,0.035986457,0.00029700002,0.19899997,0.0009901001,1.0
300000,1.393077,91.7560975609756,999.0,-0.27443925,-3.022292424892557,-3.022292424892557,0.0053616543,0.036748722,0.00029609998,0.19870001,0.0009871301,1.0
360000,1.3858014,82.6046511627907,1050.7241379310344,-0.31502736,-2.86270693972193,-2.86270693972193,0.006489656,0.034992706,0.00029519998,0.1984,0.0009841602,1.0
420000,1.3754456,69.05882352941177,1050.7241379310344,-0.33711994,-2.1964099828539223,-2.1964099828539223,0.0056595216,0.037103277,0.00029429997,0.1981,0.0009811901,1.0
480000,1.3663527,55.76923076923077,1050.7241379310344,-0.33829612,-1.4632028822313274,-1.4632028822313274,0.00856374,0.03396672,0.00029340008,0.19780001,0.0009782201,1.0
540000,1.3556371,29.46583850931677,999.0,-0.3173033,-0.25928382626895247,-0.25928382626895247,0.010930555,0.036022455,0.00029250002,0.19749999,0.0009752502,1.0
600000,1.3468823,23.146892655367232,1050.7241379310344,-0.28547686,0.09912439050345585,0.09912439050345585,0.0114336135,0.03659136,0.00029159995,0.19720003,0.0009722802,1.0
660000,1.335552,15.55609756097561,1050.7241379310344,-0.2409593,0.6597519224059993,0.6597519224059993,0.010932905,0.03451802,0.00029070006,0.19690001,0.0009693102,1.0
720000,1.3306711,14.105263157894736,1050.7241379310344,-0.19414473,0.8896070478255289,0.8896070478255289,0.0108099,0.036354072,0.00028980008,0.19659998,0.00096634025,1.0
780000,1.3229389,11.585253456221198,999.0,-0.13106251,1.2940484156896328,1.2940484156896328,0.010353772,0.03423416,0.00028890005,0.19629999,0.0009633702,1.0
840000,1.3216603,9.270742358078603,1050.7241379310344,-0.058377914,1.5608250200748444,1.5608250200748444,0.009178376,0.03330142,0.00028800004,0.19600001,0.00096040027,1.0
900000,1.315652,8.102127659574467,1050.7241379310344,0.028990418,2.115504532024778,2.115504532024778,0.008910682,0.033842675,0.00028710003,0.19570002,0.0009574302,1.0
960000,1.3049248,8.223140495867769,1050.7241379310344,0.09301779,2.342796614295558,2.342796614295558,0.009589856,0.035664655,0.00028620005,0.19540001,0.00095446024,1.0
1020000,1.2911372,7.763265306122449,999.0,0.15873726,2.351125244436593,2.351125244436593,0.00917808,0.03540563,0.00028530005,0.19509998,0.00095149025,1.0
1080000,1.2806696,7.371308016877637,1050.7241379310344,0.20288226,2.525747833580806,2.525747833580806,0.009192717,0.035080712,0.00028440004,0.19479997,0.00094852014,1.0
1140000,1.2702993,7.049792531120332,1050.7241379310344,0.24569292,2.651340908017652,2.651340908017652,0.009628842,0.033618454,0.0002835,0.19450003,0.00094555016,1.0
1200000,1.2590586,6.6887966804979255,1050.7241379310344,0.28984103,2.756279627482096,2.756279627482096,0.010677381,0.032866992,0.0002826,0.19420002,0.0009425802,1.0
